Message,Label
Hi! Exclusive offer available only today. Claim now. Thanks. Offer1023,spam
Just letting you know: Can you share the Wi-Fi password? Thank you. Ref4072,ham
Just letting you know: Congratulations! You have won a free prize. Claim now. Please reply. Offer2819,spam
Hi! Let me know when you are available. Thanks. Ref5785,ham
Hi! Please submit the form before Friday. Reply when you can. Ref6998,ham
Hi! You have won a guaranteed reward. Respond now. Let me know. Offer2696,spam
Hi! Earn thousands from home. Join this opportunity now. Reply when you can. Offer4374,spam
Hello! I reached safely. Ref0633,ham
Important: Get rich quickly with this incredible money-making offer. Offer6487,spam
Please note: Please submit the form before Friday. Have a good day. Ref3223,ham
Just letting you know: Exclusive offer available only today. Claim now. Thanks. Offer0586,spam
Hi! The project presentation is on Monday. Have a good day. Ref6819,ham
Just letting you know: Your order has been delivered. Let me know. Ref6407,ham
Today: I will call you after work. Thanks. Ref9341,ham
Let me know when you are available. Ref3479,ham
Today: I will call you after work. Reply when you can. Ref8112,ham
Quick message: Can we reschedule our appointment? Ref9908,ham
Just letting you know: Congratulations! You have won a free prize. Claim now. Thank you. Offer8537,spam
Hi! Please remind me about the meeting. Ref9509,ham
Free membership available. Register today. Reply when you can. Offer8216,spam
Please note: Please call me when you reach home. Thanks. Ref5510,ham
Today: Win a brand new phone today. Click to claim your prize. Reply when you can. Offer5214,spam
Hi! I will call you after work. Thanks. Ref2074,ham
Please note: Free gift waiting for you. Claim your reward today. Thank you. Offer4036,spam
Reminder: Let's have lunch together today. Thank you. Ref2933,ham
Quick message: I am going to the market now. Ref0774,ham
Please note: Your order has been delivered. Thank you. Ref9352,ham
Quick message: Special cash offer just for you. Reply now. Offer3655,spam
Quick message: FREE entry to win a luxury car. Reply WIN now. Reply when you can. Offer4567,spam
Today: Let's have lunch together today. Ref5810,ham
Hello! I will be there in ten minutes. Have a good day. Ref4832,ham
Hi! Amazing deal! Get your bonus before the offer ends. Let me know. Offer5809,spam
Hi! Let's have lunch together today. Thanks. Ref0227,ham
Important: Exclusive winner notification. Claim your cash prize. Have a good day. Offer8922,spam
Today: You have been chosen for a free vacation. Reply when you can. Offer5868,spam
Please remind me about the meeting. Please reply. Ref3661,ham
Hello! Exclusive winner notification. Claim your cash prize. Have a good day. Offer3293,spam
Please note: Let me know when you are available. Reply when you can. Ref7880,ham
Hi! Please call me when you reach home. Thank you. Ref2105,ham
Quick message: Can you send me the notes from today's class? Ref9723,ham
Please note: See you tomorrow morning. Thanks. Ref9657,ham
Special promotion! Get 90 percent off today. Please reply. Offer2685,spam
I am waiting outside the office. Ref5001,ham
Quick message: Amazing deal! Get your bonus before the offer ends. Offer5669,spam
"Important: Congratulations, your number has won a cash bonus. Reply when you can. Offer5978",spam
Hi! Let's have lunch together today. Let me know. Ref1979,ham
Quick message: You have won a shopping voucher. Click here now. Reply when you can. Offer8598,spam
Hi! Let me know when you are available. Ref2360,ham
Hello! Act now to receive your free gift. Offer0505,spam
I will be there in ten minutes. Thank you. Ref0342,ham
Reminder: Congratulations! You have won a free prize. Claim now. Reply when you can. Offer6454,spam
Quick message: See you tomorrow morning. Thank you. Ref3542,ham
Please note: I will call you after work. Let me know. Ref1653,ham
Today: Let's have lunch together today. Please reply. Ref0562,ham
Just letting you know: Congratulations! Your account has received a reward. Offer2441,spam
Today: Get a special discount now! Limited time offer. Reply when you can. Offer5004,spam
Reminder: Amazing deal! Get your bonus before the offer ends. Please reply. Offer9304,spam
Please note: Limited offer! Buy now and get a huge discount. Please reply. Offer0708,spam
Quick message: FREE entry to win a luxury car. Reply WIN now. Thank you. Offer3404,spam
Quick message: Don't forget to bring your ID card. Thanks. Ref9750,ham
Today: Please check the attached report. Thanks. Ref9032,ham
Please note: I have sent the documents to your email. Please reply. Ref3961,ham
Hi! Congratulations! You have won a free prize. Claim now. Let me know. Offer6166,spam
Please note: Get a special discount now! Limited time offer. Please reply. Offer3672,spam
Important: Special promotion! Get 90 percent off today. Let me know. Offer7694,spam
Quick message: Get rich quickly with this incredible money-making offer. Please reply. Offer0304,spam
Today: Please remind me about the meeting. Ref0884,ham
Quick message: Congratulations! You have won a free prize. Claim now. Have a good day. Offer5027,spam
Just letting you know: Your order has been delivered. Reply when you can. Ref2333,ham
You are the lucky winner of a huge cash prize. Thanks. Offer8180,spam
Please note: Earn money from home with our amazing opportunity. Thanks. Offer8848,spam
Hi! Happy birthday! Have a wonderful day. Let me know. Ref1067,ham
Hello! The weather is nice today. Have a good day. Ref8178,ham
Free coupon available now. Click to redeem. Thanks. Offer5992,spam
Important: Congratulations! You have won a free prize. Claim now. Thank you. Offer7314,spam
Hi! The project presentation is on Monday. Please reply. Ref3573,ham
Hello! Earn thousands from home. Join this opportunity now. Have a good day. Offer7164,spam
Today: Congratulations winner! Contact us to collect your prize. Please reply. Offer6378,spam
Hi! Are you free this evening? Thank you. Ref2748,ham
Today: Please call me when you reach home. Have a good day. Ref5826,ham
Please note: Congratulations! You have won a free prize. Claim now. Let me know. Offer3155,spam
Important: Thanks for helping me yesterday. Let me know. Ref7984,ham
Reminder: You have been chosen for a free vacation. Have a good day. Offer4181,spam
Reminder: Can we reschedule our appointment? Ref9541,ham
Important: Can you send me the notes from today's class? Let me know. Ref1699,ham
Today: Let's have lunch together today. Have a good day. Ref9672,ham
Just letting you know: Amazing deal! Get your bonus before the offer ends. Reply when you can. Offer5571,spam
Just letting you know: I am waiting outside the office. Ref3870,ham
Important: You are the lucky winner of a huge cash prize. Offer5771,spam
Please note: WIN CASH NOW! Reply YES to receive your reward. Thanks. Offer7875,spam
Today: See you tomorrow morning. Please reply. Ref1027,ham
The weather is nice today. Reply when you can. Ref3277,ham
Hi! Please submit the form before Friday. Ref1241,ham
Hi! I will call you after work. Let me know. Ref7549,ham
Please note: Limited offer! Buy now and get a huge discount. Reply when you can. Offer6466,spam
Please note: Let me know when you are available. Have a good day. Ref0336,ham
Today: Earn money from home with our amazing opportunity. Please reply. Offer3736,spam
Hello! What time does the train arrive? Thanks. Ref0012,ham
Reminder: The meeting starts at 10 am. Reply when you can. Ref0429,ham
Free coupon available now. Click to redeem. Thank you. Offer8948,spam
Today: Get rich quickly with this incredible money-making offer. Thanks. Offer7981,spam
Reminder: You have won a shopping voucher. Click here now. Have a good day. Offer7561,spam
Please note: Can you share the Wi-Fi password? Please reply. Ref2998,ham
Hello! Congratulations winner! Contact us to collect your prize. Have a good day. Offer3317,spam
Quick message: Your assignment is due tomorrow. Have a good day. Ref0911,ham
Please note: Exclusive winner notification. Claim your cash prize. Thank you. Offer0878,spam
Today: Can you share the Wi-Fi password? Have a good day. Ref4484,ham
Please note: You are the lucky winner of a huge cash prize. Offer0411,spam
Hello! Special promotion! Get 90 percent off today. Offer6659,spam
Reminder: Please bring your laptop tomorrow. Thanks. Ref0067,ham
Quick message: FREE entry to win a luxury car. Reply WIN now. Thanks. Offer6067,spam
Important: Limited offer! Buy now and get a huge discount. Reply when you can. Offer9551,spam
Please note: You are selected for a free prize. Confirm your details. Reply when you can. Offer5508,spam
Today: Can you pick up some groceries on your way? Have a good day. Ref2490,ham
Hello! Please bring your laptop tomorrow. Thank you. Ref0182,ham
Hi! Can you pick up some groceries on your way? Reply when you can. Ref3794,ham
Important: Earn thousands from home. Join this opportunity now. Offer9440,spam
Hello! You are eligible for a special bonus. Apply immediately. Thank you. Offer4707,spam
Reminder: Let's have lunch together today. Thank you. Ref2760,ham
Exclusive winner notification. Claim your cash prize. Offer1114,spam
Today: Amazing deal! Get your bonus before the offer ends. Thanks. Offer5768,spam
Quick message: Exclusive winner notification. Claim your cash prize. Offer8864,spam
Hi! Act now to receive your free gift. Thank you. Offer5414,spam
Today: Are you free this evening? Let me know. Ref2735,ham
Just letting you know: You have won a shopping voucher. Click here now. Let me know. Offer2104,spam
Quick message: Let me know when you are available. Have a good day. Ref2660,ham
Quick message: Can you share the Wi-Fi password? Thanks. Ref3193,ham
Don't forget to bring your ID card. Please reply. Ref2373,ham
Quick message: Act now to receive your free gift. Offer0712,spam
Please note: What time does the train arrive? Thanks. Ref9580,ham
Reminder: Your order has been delivered. Let me know. Ref8632,ham
I reached safely. Ref7080,ham
Today: Earn thousands from home. Join this opportunity now. Thanks. Offer3749,spam
Hi! You are the lucky winner of a huge cash prize. Have a good day. Offer5713,spam
Get a special discount now! Limited time offer. Thank you. Offer2724,spam
Just letting you know: Let's have lunch together today. Thanks. Ref9265,ham
Quick message: The weather is nice today. Thank you. Ref6458,ham
Important: Claim your exclusive reward before it expires. Offer4082,spam
Hello! Earn money from home with our amazing opportunity. Let me know. Offer3634,spam
Reminder: Get rich quickly with this incredible money-making offer. Let me know. Offer6282,spam
Hi! Can we reschedule our appointment? Thank you. Ref3766,ham
Important: Let me know when you are available. Let me know. Ref7002,ham
Reminder: Can you send me the notes from today's class? Let me know. Ref5978,ham
Hello! Exclusive winner notification. Claim your cash prize. Thanks. Offer0825,spam
Just letting you know: The project presentation is on Monday. Let me know. Ref4192,ham
Reminder: Free membership available. Register today. Let me know. Offer4458,spam
Hi! Congratulations! Your account has received a reward. Thanks. Offer7728,spam
The meeting starts at 10 am. Let me know. Ref3123,ham
Just letting you know: Special promotion! Get 90 percent off today. Thanks. Offer0799,spam
Hi! Let me know when you are available. Thank you. Ref4561,ham
Hello! Earn thousands from home. Join this opportunity now. Offer8695,spam
Just letting you know: Free membership available. Register today. Thanks. Offer8984,spam
Quick message: Please check the attached report. Thank you. Ref9650,ham
Reminder: Exclusive offer available only today. Claim now. Offer3859,spam
Can we reschedule our appointment? Thank you. Ref0708,ham
Today: The class has been moved to room 204. Reply when you can. Ref7074,ham
Important: Congratulations! You have won a free prize. Claim now. Thank you. Offer2515,spam
Quick message: Can you pick up some groceries on your way? Thanks. Ref0860,ham
Just letting you know: Please bring your laptop tomorrow. Ref7536,ham
Today: Are you free this evening? Ref5913,ham
Just letting you know: Free gift waiting for you. Claim your reward today. Let me know. Offer2304,spam
Hi! The meeting starts at 10 am. Reply when you can. Ref7857,ham
Just letting you know: Can you send me the notes from today's class? Let me know. Ref8715,ham
Just letting you know: Can you share the Wi-Fi password? Let me know. Ref3932,ham
Important: Please bring your laptop tomorrow. Thanks. Ref1936,ham
Today: Can you share the Wi-Fi password? Ref0238,ham
Hello! Limited offer! Buy now and get a huge discount. Thanks. Offer4034,spam
Earn money from home with our amazing opportunity. Please reply. Offer9948,spam
Please note: I will be there in ten minutes. Thanks. Ref5210,ham
Quick message: The project presentation is on Monday. Please reply. Ref2439,ham
Hello! Exclusive winner notification. Claim your cash prize. Thank you. Offer6367,spam
Don't forget to bring your ID card. Thank you. Ref0433,ham
Reminder: You are eligible for a special bonus. Apply immediately. Offer9452,spam
"Today: Hey, are we still meeting at 6 pm? Have a good day. Ref2627",ham
Important: URGENT! You have been selected for a cash reward. Call now. Reply when you can. Offer9789,spam
Today: The meeting starts at 10 am. Have a good day. Ref1276,ham
Hi! See you tomorrow morning. Reply when you can. Ref3614,ham
Hi! Limited offer! Buy now and get a huge discount. Let me know. Offer0348,spam
Reminder: Earn thousands from home. Join this opportunity now. Let me know. Offer1788,spam
Hi! Exclusive winner notification. Claim your cash prize. Reply when you can. Offer8084,spam
URGENT! You have been selected for a cash reward. Call now. Reply when you can. Offer2278,spam
Just letting you know: Congratulations! You have won a free prize. Claim now. Reply when you can. Offer0340,spam
Today: WIN CASH NOW! Reply YES to receive your reward. Let me know. Offer2158,spam
Hi! Free coupon available now. Click to redeem. Offer1379,spam
Act now to receive your free gift. Have a good day. Offer4786,spam
Hi! I reached safely. Thanks. Ref8485,ham
Hi! Amazing deal! Get your bonus before the offer ends. Thanks. Offer3408,spam
Just letting you know: Special cash offer just for you. Reply now. Thanks. Offer3322,spam
Hello! Free gift waiting for you. Claim your reward today. Thank you. Offer1054,spam
Hello! Can we reschedule our appointment? Thank you. Ref5858,ham
Today: Act now to receive your free gift. Thanks. Offer9045,spam
Please note: Please check the attached report. Thanks. Ref3529,ham
Please note: You have won a shopping voucher. Click here now. Please reply. Offer7948,spam
Hello! Get a special discount now! Limited time offer. Have a good day. Offer7738,spam
Important: The class has been moved to room 204. Ref6972,ham
"Hi! Congratulations, your number has won a cash bonus. Thank you. Offer5667",spam
Please call me when you reach home. Let me know. Ref7607,ham
Reminder: I am waiting outside the office. Thanks. Ref6961,ham
Please note: Amazing deal! Get your bonus before the offer ends. Thank you. Offer7536,spam
Hi! Amazing deal! Get your bonus before the offer ends. Offer0480,spam
Please note: The class has been moved to room 204. Reply when you can. Ref3275,ham
Important: Free coupon available now. Click to redeem. Please reply. Offer4883,spam
Today: Let me know when you are available. Reply when you can. Ref3790,ham
Hello! See you tomorrow morning. Let me know. Ref4574,ham
Today: Get a special discount now! Limited time offer. Offer9758,spam
Today: Limited offer! Buy now and get a huge discount. Let me know. Offer9353,spam
Please note: Exclusive winner notification. Claim your cash prize. Please reply. Offer2079,spam
Can you send me the notes from today's class? Let me know. Ref4385,ham
Important: Please submit the form before Friday. Please reply. Ref0303,ham
Hi! Your assignment is due tomorrow. Thanks. Ref0343,ham
Important: Please check the attached report. Ref5616,ham
"Hey, are we still meeting at 6 pm? Thank you. Ref3716",ham
Reminder: Get rich quickly with this incredible money-making offer. Please reply. Offer5525,spam
Important: The project presentation is on Monday. Let me know. Ref6360,ham
Please note: Please bring your laptop tomorrow. Ref8881,ham
Hello! Can you share the Wi-Fi password? Reply when you can. Ref7571,ham
Please note: You are selected for a free prize. Confirm your details. Thank you. Offer7206,spam
Today: Let's have lunch together today. Thanks. Ref0391,ham
Just letting you know: Win a brand new phone today. Click to claim your prize. Please reply. Offer8113,spam
Reminder: URGENT! You have been selected for a cash reward. Call now. Please reply. Offer6881,spam
Quick message: Can we reschedule our appointment? Reply when you can. Ref6393,ham
"Hi! Congratulations, your number has won a cash bonus. Thanks. Offer9115",spam
Reminder: I am waiting outside the office. Please reply. Ref2801,ham
Quick message: URGENT! You have been selected for a cash reward. Call now. Have a good day. Offer7841,spam
Please note: The class has been moved to room 204. Thanks. Ref8326,ham
Just letting you know: Happy birthday! Have a wonderful day. Please reply. Ref1032,ham
Hi! Let me know when you are available. Let me know. Ref4131,ham
Reminder: Win a brand new phone today. Click to claim your prize. Thank you. Offer8677,spam
Reminder: WIN CASH NOW! Reply YES to receive your reward. Thank you. Offer3275,spam
Quick message: Can you send me the notes from today's class? Let me know. Ref9128,ham
Hi! Happy birthday! Have a wonderful day. Have a good day. Ref4067,ham
Exclusive offer available only today. Claim now. Thank you. Offer7471,spam
Reminder: Congratulations! Your account has received a reward. Thank you. Offer0899,spam
Are you free this evening? Please reply. Ref9146,ham
Hello! Please bring your laptop tomorrow. Thank you. Ref9691,ham
Just letting you know: Please check the attached report. Reply when you can. Ref4031,ham
Hello! Can you pick up some groceries on your way? Thank you. Ref4407,ham
Important: Get a special discount now! Limited time offer. Thanks. Offer5064,spam
Earn money from home with our amazing opportunity. Please reply. Offer7504,spam
Please note: Congratulations! Your account has received a reward. Have a good day. Offer2193,spam
Reminder: Please check the attached report. Let me know. Ref5963,ham
Important: Limited offer! Buy now and get a huge discount. Let me know. Offer9446,spam
Reminder: Free coupon available now. Click to redeem. Let me know. Offer0794,spam
Today: Let me know when you are available. Please reply. Ref0105,ham
Hi! You are selected for a free prize. Confirm your details. Please reply. Offer5802,spam
Today: You are eligible for a special bonus. Apply immediately. Thank you. Offer1003,spam
Hi! Exclusive offer available only today. Claim now. Offer0477,spam
Hi! Happy birthday! Have a wonderful day. Thank you. Ref0048,ham
Just letting you know: Act now to receive your free gift. Reply when you can. Offer3001,spam
Hello! Urgent reward notification. Claim before midnight. Have a good day. Offer1039,spam
Reminder: You are eligible for a special bonus. Apply immediately. Reply when you can. Offer9691,spam
Just letting you know: Free membership available. Register today. Reply when you can. Offer1727,spam
Hi! Your order has been delivered. Reply when you can. Ref5999,ham
Hi! I am waiting outside the office. Thank you. Ref5453,ham
Hi! Your assignment is due tomorrow. Let me know. Ref0758,ham
Important: Your assignment is due tomorrow. Please reply. Ref5433,ham
Important: Claim your exclusive reward before it expires. Please reply. Offer7822,spam
Just letting you know: Win a brand new phone today. Click to claim your prize. Please reply. Offer8091,spam
Quick message: Amazing deal! Get your bonus before the offer ends. Have a good day. Offer7902,spam
Hello! Please submit the form before Friday. Let me know. Ref7943,ham
Earn money from home with our amazing opportunity. Thanks. Offer2588,spam
Quick message: Get rich quickly with this incredible money-making offer. Let me know. Offer2251,spam
You are the lucky winner of a huge cash prize. Reply when you can. Offer4033,spam
Reminder: Earn money from home with our amazing opportunity. Offer0702,spam
Just letting you know: Can you share the Wi-Fi password? Ref4676,ham
Reminder: Free coupon available now. Click to redeem. Let me know. Offer2119,spam
Quick message: Special cash offer just for you. Reply now. Have a good day. Offer6857,spam
Your assignment is due tomorrow. Ref7261,ham
Today: You are selected for a free prize. Confirm your details. Please reply. Offer9297,spam
Hello! Let's have lunch together today. Have a good day. Ref8463,ham
Quick message: Don't forget to bring your ID card. Thanks. Ref7089,ham
Reminder: Exclusive offer available only today. Claim now. Thanks. Offer2539,spam
Important: You have won a guaranteed reward. Respond now. Please reply. Offer0890,spam
Reminder: Congratulations winner! Contact us to collect your prize. Please reply. Offer2454,spam
Hello! I will call you after work. Have a good day. Ref6804,ham
Just letting you know: You are selected for a free prize. Confirm your details. Thank you. Offer5812,spam
"Hi! Congratulations, your number has won a cash bonus. Let me know. Offer0454",spam
You are eligible for a special bonus. Apply immediately. Thank you. Offer5739,spam
Important: Exclusive offer available only today. Claim now. Offer5818,spam
Please note: Win a brand new phone today. Click to claim your prize. Please reply. Offer9834,spam
Hello! Please remind me about the meeting. Thanks. Ref2912,ham
Just letting you know: You are selected for a free prize. Confirm your details. Reply when you can. Offer9240,spam
Quick message: Can you share the Wi-Fi password? Please reply. Ref4512,ham
Hello! You are eligible for a special bonus. Apply immediately. Have a good day. Offer7401,spam
Hello! Congratulations! You have won a free prize. Claim now. Thank you. Offer2520,spam
Quick message: Exclusive offer available only today. Claim now. Have a good day. Offer3653,spam
Hi! You have won a guaranteed reward. Respond now. Thank you. Offer7655,spam
Important: Can you send me the notes from today's class? Let me know. Ref6468,ham
You are selected for a free prize. Confirm your details. Offer3650,spam
Special cash offer just for you. Reply now. Thanks. Offer5569,spam
Just letting you know: Exclusive offer available only today. Claim now. Offer3561,spam
Reminder: You have won a guaranteed reward. Respond now. Offer1947,spam
Today: Please bring your laptop tomorrow. Please reply. Ref7587,ham
Get a special discount now! Limited time offer. Have a good day. Offer0305,spam
Reminder: Congratulations! Your account has received a reward. Thanks. Offer3537,spam
Hi! Please call me when you reach home. Let me know. Ref6727,ham
Just letting you know: Can you send me the notes from today's class? Please reply. Ref5897,ham
Hello! Are you free this evening? Ref1023,ham
Quick message: Don't forget to bring your ID card. Reply when you can. Ref8405,ham
Quick message: Thanks for helping me yesterday. Thank you. Ref6681,ham
"Please note: Congratulations, your number has won a cash bonus. Offer4935",spam
Important: The class has been moved to room 204. Thanks. Ref1707,ham
Important: Thanks for helping me yesterday. Thanks. Ref9762,ham
Today: Exclusive winner notification. Claim your cash prize. Thanks. Offer5339,spam
Important: Congratulations winner! Contact us to collect your prize. Thanks. Offer3434,spam
Please note: I have sent the documents to your email. Ref9573,ham
"Hello! Congratulations, your number has won a cash bonus. Please reply. Offer7197",spam
Important: Free coupon available now. Click to redeem. Let me know. Offer4169,spam
"Hello! Hey, are we still meeting at 6 pm? Have a good day. Ref6781",ham
Hi! WIN CASH NOW! Reply YES to receive your reward. Thanks. Offer3971,spam
Just letting you know: Claim your exclusive reward before it expires. Let me know. Offer0649,spam
Hello! I reached safely. Ref1966,ham
Today: Please submit the form before Friday. Let me know. Ref3648,ham
Just letting you know: Get rich quickly with this incredible money-making offer. Offer1444,spam
Congratulations winner! Contact us to collect your prize. Please reply. Offer7811,spam
Today: Free coupon available now. Click to redeem. Reply when you can. Offer7267,spam
"Reminder: Congratulations, your number has won a cash bonus. Offer4847",spam
Today: Happy birthday! Have a wonderful day. Ref9273,ham
What time does the train arrive? Thanks. Ref1414,ham
Just letting you know: The meeting starts at 10 am. Let me know. Ref6619,ham
Quick message: Congratulations winner! Contact us to collect your prize. Have a good day. Offer0802,spam
Hello! Can you pick up some groceries on your way? Thanks. Ref5484,ham
You have been chosen for a free vacation. Reply when you can. Offer9409,spam
"Today: Hey, are we still meeting at 6 pm? Please reply. Ref3498",ham
Please note: Congratulations! Your account has received a reward. Let me know. Offer4792,spam
Hello! The project presentation is on Monday. Please reply. Ref7094,ham
Important: Can we reschedule our appointment? Please reply. Ref4855,ham
Urgent reward notification. Claim before midnight. Thank you. Offer5909,spam
Quick message: Happy birthday! Have a wonderful day. Thanks. Ref2231,ham
Please note: Congratulations! You have won a free prize. Claim now. Thank you. Offer6202,spam
Today: Congratulations! Your account has received a reward. Please reply. Offer3264,spam
Exclusive winner notification. Claim your cash prize. Thanks. Offer0531,spam
Today: Limited offer! Buy now and get a huge discount. Offer6332,spam
Get a special discount now! Limited time offer. Let me know. Offer9468,spam
Hello! Are you free this evening? Thanks. Ref6696,ham
Please note: Are you free this evening? Thanks. Ref0214,ham
Just letting you know: Your assignment is due tomorrow. Please reply. Ref4556,ham
Important: Congratulations! You have won a free prize. Claim now. Please reply. Offer0057,spam
"Important: Hey, are we still meeting at 6 pm? Thanks. Ref8100",ham
Please note: Happy birthday! Have a wonderful day. Have a good day. Ref1800,ham
Reminder: Can you send me the notes from today's class? Have a good day. Ref0199,ham
Just letting you know: Special promotion! Get 90 percent off today. Reply when you can. Offer7844,spam
Reminder: Free membership available. Register today. Have a good day. Offer6112,spam
Today: Can we reschedule our appointment? Let me know. Ref4160,ham
Today: Don't forget to bring your ID card. Ref5625,ham
Just letting you know: Don't forget to bring your ID card. Have a good day. Ref8006,ham
Quick message: You are the lucky winner of a huge cash prize. Let me know. Offer8198,spam
Reminder: Urgent reward notification. Claim before midnight. Thank you. Offer7817,spam
Please note: I am going to the market now. Have a good day. Ref2884,ham
Just letting you know: Please submit the form before Friday. Ref2394,ham
Just letting you know: I am going to the market now. Please reply. Ref0873,ham
Important: You are selected for a free prize. Confirm your details. Please reply. Offer0934,spam
Hi! Get rich quickly with this incredible money-making offer. Have a good day. Offer2030,spam
Just letting you know: The meeting starts at 10 am. Please reply. Ref1066,ham
Please note: See you tomorrow morning. Let me know. Ref6200,ham
Just letting you know: I will call you after work. Reply when you can. Ref4787,ham
Quick message: Congratulations! You have won a free prize. Claim now. Thank you. Offer2906,spam
Today: Urgent reward notification. Claim before midnight. Let me know. Offer3446,spam
Please note: I am going to the market now. Thanks. Ref3233,ham
Important: See you tomorrow morning. Reply when you can. Ref9631,ham
Important: Free coupon available now. Click to redeem. Offer2171,spam
Hello! Special promotion! Get 90 percent off today. Reply when you can. Offer7470,spam
Hello! FREE entry to win a luxury car. Reply WIN now. Reply when you can. Offer0728,spam
Hello! I have sent the documents to your email. Please reply. Ref1021,ham
"Just letting you know: Hey, are we still meeting at 6 pm? Let me know. Ref5208",ham
Please note: Please remind me about the meeting. Let me know. Ref4842,ham
Hi! Are you free this evening? Thanks. Ref2452,ham
Hello! You are selected for a free prize. Confirm your details. Thanks. Offer4948,spam
Hi! Amazing deal! Get your bonus before the offer ends. Let me know. Offer6172,spam
Quick message: WIN CASH NOW! Reply YES to receive your reward. Reply when you can. Offer5890,spam
Hi! What time does the train arrive? Have a good day. Ref8415,ham
Hello! Don't forget to bring your ID card. Have a good day. Ref6318,ham
Just letting you know: Your order has been delivered. Reply when you can. Ref8586,ham
Free gift waiting for you. Claim your reward today. Let me know. Offer8409,spam
Quick message: I have sent the documents to your email. Please reply. Ref2031,ham
Quick message: I reached safely. Let me know. Ref7234,ham
You are the lucky winner of a huge cash prize. Let me know. Offer8809,spam
Quick message: Please check the attached report. Have a good day. Ref9120,ham
Just letting you know: Let's have lunch together today. Reply when you can. Ref8131,ham
Quick message: WIN CASH NOW! Reply YES to receive your reward. Reply when you can. Offer4597,spam
You are selected for a free prize. Confirm your details. Thanks. Offer9495,spam
Hello! Urgent reward notification. Claim before midnight. Please reply. Offer3866,spam
Please note: I will call you after work. Have a good day. Ref5219,ham
Hi! Can we reschedule our appointment? Have a good day. Ref2575,ham
Free gift waiting for you. Claim your reward today. Reply when you can. Offer7490,spam
Important: Congratulations! Your account has received a reward. Thank you. Offer2784,spam
Important: Congratulations! Your account has received a reward. Let me know. Offer6854,spam
Important: I will call you after work. Please reply. Ref8670,ham
Quick message: I will call you after work. Ref6461,ham
WIN CASH NOW! Reply YES to receive your reward. Have a good day. Offer4311,spam
Quick message: Exclusive winner notification. Claim your cash prize. Thanks. Offer4944,spam
Important: Amazing deal! Get your bonus before the offer ends. Have a good day. Offer7931,spam
Important: Get a special discount now! Limited time offer. Have a good day. Offer0821,spam
Hello! Please submit the form before Friday. Thanks. Ref0910,ham
Today: Urgent reward notification. Claim before midnight. Offer6642,spam
Please note: Limited offer! Buy now and get a huge discount. Offer4129,spam
Hello! See you tomorrow morning. Have a good day. Ref6714,ham
Hello! I will be there in ten minutes. Have a good day. Ref7054,ham
Just letting you know: Your order has been delivered. Ref8069,ham
Hello! What time does the train arrive? Please reply. Ref4409,ham
Hello! Amazing deal! Get your bonus before the offer ends. Please reply. Offer8441,spam
Important: I have sent the documents to your email. Please reply. Ref5164,ham
Please note: Congratulations! You have won a free prize. Claim now. Have a good day. Offer4800,spam
Hello! The weather is nice today. Please reply. Ref6434,ham
Hello! The class has been moved to room 204. Please reply. Ref8508,ham
Hello! Congratulations winner! Contact us to collect your prize. Reply when you can. Offer8524,spam
Please note: Urgent reward notification. Claim before midnight. Reply when you can. Offer8433,spam
Today: Limited offer! Buy now and get a huge discount. Offer5178,spam
Important: Win a brand new phone today. Click to claim your prize. Thanks. Offer3930,spam
